"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 14:55:06 GMT 2023","Wed May 24 14:55:11 GMT 2023","4111","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[3]",""
"skipped","Wed May 24 14:54:58 GMT 2023","Wed May 24 14:54:58 GMT 2023","0","tests.integration.dbapi.sync","test_queries","","","","test_long_query","AWS ALB TCP timeout set to 350, make sure we handle the keepalive correctly."
"failed","Wed May 24 14:54:55 GMT 2023","Wed May 24 14:54:58 GMT 2023","2596","tests.integration.dbapi.async","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"skipped","Wed May 24 14:55:07 GMT 2023","Wed May 24 14:55:07 GMT 2023","0","tests.integration.dbapi.sync","test_queries","","","","test_server_side_async_execution_cancel","Test cancel()."
"passed","Wed May 24 14:54:54 GMT 2023","Wed May 24 14:54:55 GMT 2023","999","tests.integration.dbapi.async","test_errors_async","","","","test_engine_stopped","Connection properly reacts to invalid engine name error."
"passed","Wed May 24 14:55:11 GMT 2023","Wed May 24 14:55:11 GMT 2023","149","tests.integration.dbapi.sync","test_queries","","","","test_server_side_async_execution_query","Make an sql query and receive an id back."
"passed","Wed May 24 14:54:55 GMT 2023","Wed May 24 14:55:07 GMT 2023","11308","tests.integration.dbapi.async","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Wed May 24 14:55:15 GMT 2023","Wed May 24 14:55:16 GMT 2023","1500","tests.integration.resource_manager","test_engine","","","","test_engine_update_multiple_parameters",""
"broken","Wed May 24 14:54:55 GMT 2023","Wed May 24 14:54:55 GMT 2023","523","tests.integration.dbapi.async","test_queries_async","","","","test_connect_engine_name","Connecting with engine name is handled properly."
"skipped","Wed May 24 14:54:58 GMT 2023","Wed May 24 14:54:58 GMT 2023","0","tests.integration.dbapi.sync","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Wed May 24 14:55:02 GMT 2023","Wed May 24 14:55:06 GMT 2023","4008","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Wed May 24 14:55:06 GMT 2023","Wed May 24 14:55:18 GMT 2023","11134","tests.integration.dbapi.async","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Wed May 24 14:54:58 GMT 2023","Wed May 24 14:55:09 GMT 2023","11162","tests.integration.dbapi.sync","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"broken","Wed May 24 14:54:55 GMT 2023","Wed May 24 14:54:55 GMT 2023","532","tests.integration.dbapi.async","test_queries_async","","","","test_select","Select handles all data types properly."
